code,name_e,name_th,lat,long
376202,MAE SOT,แม่สอด,16.702839,98.542019
376301,DOI MUSOE,ดอยมูเซอ (1),16.752111,98.935297
300202,MAE SARIANG,แม่สะเรียง,18.176442,97.930608
300201,MAE HONG SON,แม่ฮ่องสอน,19.299950,97.972619
383201,MUKDAHAN,มุกดาหาร,16.543256,104.725400
356301,SAKON NAKHON,สกลนคร (1),17.125286,104.056639
356201,SAKON NAKHON,สกลนคร,17.156550,104.133303
357301,NAKHON PHANOM,นครพนม (1),17.277892,104.769867
354201,UDON THANI,อุดรธานี,17.379667,102.806469
353301,LOEI,เลย (1),17.409703,101.729831
357201,NAKHON PHANOM,นครพนม,17.412192,104.778758
353201,LOEI,เลย,17.452819,101.730731
352201,NONG KHAI,หนองคาย,17.865128,102.747408
310201,PHAYAO,พะเยา,19.192933,99.883650
303301,CHIANG RAI,เชียงราย (1),19.871839,99.779203
327202,Doi Ang Khang,ดอยอ่างขาง,19.931058,99.042808
303201,CHIANG RAI,เชียงราย,19.961219,99.881294
403201,CHAIYAPHUM,ชัยภูมิ,15.807447,102.024075
405201,ROI ET,ร้อยเอ็ด,16.054203,103.660472
405301,ROI ET,ร้อยเอ็ด (1),16.071194,103.602500
387401,KOSUM PHISAI,โกสุมพิสัย,16.246694,103.066111
388401,Kamalasai,กมลาไสย (2),16.331839,103.587508
381301,THA PHRA,ท่าพระ (1),16.337725,102.823272
381201,KHON KAEN,ขอนแก่น,16.462383,102.785728
360201,Nongbualamphu,หนองบัวลำภู,17.232658,102.429381
436401,NANG RONG,นางรอง (2),14.632689,102.717747
431401,CHOK CHAI,โชคชัย (2),14.739497,102.164722
432201,SURIN,สุรินทร์,14.875978,103.496661
432301,SURIN,สุรินทร์ (1),14.891158,103.449111
431201,NAKHON RATCHASIMA,นครราชสีมา,14.970186,102.082408
409301,SI SA KET,ศรีสะเกษ (1),15.086528,104.326567
436201,Buri Ram,บุรีรัมย์,15.227483,103.244336
407301,UBON RATCHATHANI,อุบลราชธานี (1),15.240583,105.019814
407501,UBON RATCHATHANI,อุบลราชธานี,15.245742,104.871233
432401,THA TUM,สอท.ท่าตูม*,15.317728,103.676683
380201,KAMPHAENG PHET,กำแพงเพชร,16.486492,99.526769
376201,TAK,ตาก,16.879933,99.140261
376203,BHUMIBOL DAM,เขื่อนภูมิพล,17.243722,99.002361
329201,LAMPHUN,ลำพูน,18.566811,99.038397
327501,CHIANG MAI,เชียงใหม่,18.771319,98.972533
327301,MAE CHO,แม่โจ้,18.905597,99.004033
328202,Thoen,เถิน,17.636381,99.244778
328201,LAMPANG,ลำปาง,18.278122,99.506469
328301,LAMPANG,ลำปาง (1),18.325283,99.301700
386301,PICHIT,พิจิตร,16.437797,100.285561
373201,Sukhothai,สุโขทัย,17.107256,99.800442
373301,SI SAMRONG,ศรีสำโรง,17.160683,99.861203
330201,PHRAE,แพร่,18.128675,100.162331
378201,PHITSANULOK,พิษณุโลก,16.796375,100.275906
351201,UTTARADIT,อุตรดิตถ์,17.624606,100.096956
331201,NAN,น่าน,18.766894,100.763492
331301,NAN,น่าน (1),18.864047,100.741464
331401,THA WANGPHA,ท่าวังผา (2),19.123286,100.812894
331402,Tung Chang,ทุ่งช้าง (2),19.419233,100.882203
429201,PILOT STATION,กรมอุตุนิยมวิทยา,13.377222,100.599444
455301,BANG NA,บางนา (1),13.666256,100.606025
455203,(KLONG TOEY),ท่าเรือกรุงเทพฯ,13.707083,100.568056
455201,BANGKOK METROPOLI,ศูนย์สิริกิตต์,13.726389,100.559889
455302,BANG KHEN,บางเขน,13.830969,100.739131
455601,DON MUANG AIRPORT,สนามบินกรุงเทพฯ,13.909042,100.593592
419301,Phathum Thani,ปทุมธานี (1),14.116219,100.620367
426201,LOP BURI,ลพบุรี,14.800053,100.628311
402301,CHAI NAT,ชัยนาท,15.158150,100.191367
400301,TAK FA,ตากฟ้า,15.349728,100.530403
400201,NAKHON SAWAN,นครสวรรค์,15.671550,100.132206
415301,AYUTTAYA,อยุธยา (1),14.534894,100.724853
431301,PAK CHONG,ปากช่อง (1),14.643944,101.318178
426401,BUA CHUM,บัวชุม (2),15.266572,101.187364
379402,WICHIAN BURI,วิเชียรบุรี,15.656756,101.105642
379201,PHETCHABUN,เพชรบูรณ์,16.434489,101.151964
379401,LOM SAK,หล่มสัก,16.773658,101.245128
451301,KAMPHAENG SAEN,กำแพงแสน (1),14.011917,99.970031
425301,U THONG,อู่ทอง (1),14.305203,99.861419
425201,SUPHAN BURI,สุพรรณบุรี,14.475178,100.091056
424301,RATCHABURI,ราชบุรี (1),13.489706,99.792658
450201,KANCHANA BURI,กาญจนบุรี,14.022186,99.535986
450401,THONG PHAPHUM,ทองผาภูมิ,14.744561,98.633236
376401,UMPHANG,อุ้มผาง,16.025489,98.859922
440401,SA KAEW,สระแก้ว (2),13.792069,102.032561
430401,KABIN BURI,กบินทร์บุรี (2),13.986111,101.704581
430201,PRACHIN BURI,ปราจีนบุรี,14.051111,101.369492
429301,Samutprakan Agromet,สมุทรปราการ (บางปลา),13.518275,100.758258
423301,CHACHOENGSAO,ฉะเชิงเทรา (1),13.567614,101.454667
429601,Suvarnabhumi Intl. Airport,สุวรรณภูมิ(สนามบิน),13.686464,100.767125
440201,ARANYA PRATHET,อรัญประเทศ,13.688997,102.504183
501201,KHLONG YAI,คลองใหญ่,11.780217,102.878233
480301,PHLIU,พลิ้ว,12.510486,102.169658
480201,CHANTHA BURI,จันทบุรี,12.609942,102.103883
478201,RAYONG,ระยอง,12.634022,101.339992
459204,SATTAHIP,สัตหีบ,12.693222,100.981928
478301,HUAI PONG,ห้วยโป่ง (1),12.735044,101.135383
459203,PHATTHAYA,พัทยา,12.923281,100.865733
459205,LAEM CHABANG,แหลมฉบัง,13.077689,100.873847
459202,KO SICHANG,เกาะสีชัง,13.162778,100.802850
459201,CHON BURI,ชลบุรี,13.355650,100.982361
500202,HUA HIN,หัวหิน,12.577975,99.953683
465201,PHETCHA BURI,เพชรบุรี,12.999317,100.060533
500201,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,11.834900,99.810319
500301,NONG PHLUB,หนองพลับ (1),12.589378,99.734328
583201,NARATHIWAT,นราธิวาส,6.427056,101.825417
580201,PATTANI AIRPORT,ปัตตานี,6.789722,101.147000
552301,NAKHON SI THAMMARAT,นครศรีธรรมราช (1),8.361247,100.055911
552201,NAKHONSI THAMMARAT,นครศรีธรรมราช,8.546203,99.939775
551301,SURAT THANI,สุราษฎร์ธานี,9.144953,99.633453
551203,KO SAMUI,เกาะสมุย,9.450817,100.033464
517301,SAWI,สวี (1),10.330628,99.091906
517201,CHUMPHON,ชุมพร,10.498681,99.188467
552401,Chawang,ฉวาง (2),8.426769,99.503300
551401,Prasaeng,พระแสง (2),8.572086,99.255217
552202,KHANOM,ขนอม,8.994253,99.351353
551201,SURAT THANI,สุราษฎร์ธานี,9.133517,99.152139
551202,SURAT THANI AIR,สุราษฎร์ธานี,9.300022,98.907264
568401,Sa Dao,สะเดา (2),6.789292,100.409742
568502,HAT YAI AIRPORT,หาดใหญ่,6.937272,100.395361
568301,KHO HONG,คอหงษ์ (1),7.018767,100.497825
568501,SONGKHLA,สงขลา,7.184061,100.604300
560301,PHATTALUNG,พัทลุง,7.582853,100.163589
581301,YALA,ยะลา,6.515439,101.274100
570201,SATUN,สตูล,6.653631,100.083194
567201,TRANG AIRPORT,ตรัง,7.512308,99.620986
566201,KO LANTA,เกาะลันตา,7.544625,99.046608
564201,PHUKET,ภูเก็ต,7.884394,98.391894
566202,KRABI,กระบี่,8.103489,98.975389
564202,PHUKET AIRPORT,สนามบินภูเก็ต,8.104531,98.307722
561201,TAKUA PA,ตะกั่วป่า,8.684306,98.252417
532201,RANONG,ระนอง,9.954803,98.633850
